itsp_track_sym,x8_track_sym,jcp_track_sym,jcp_track_name,gts_track_name,chart_file_sym,confirm_waw_sym,meet_sym,WN,PL,SH,EX,QU,TR,SU,SH5,DB,P3,P4,P5,P6,min_WN,min_PL,min_SH,min_EX,min_QN,min_TR,min_SU,min_SH5,min_DD,min_P3,min_P4,min_P5,min_P6,min_P7
HSM,HST,HST,HASTINGS RACECOURSE,Hastings Park,HST,HSM,HSM,0.0765,0.0765,0.0765,0.1445,0.0,0.1995,0.1895,0.1895,0.0765,0.0765,0.0765,0.0765,0.0765,[2.0],[2.0],[2.0],"[1.0, 2.0]",,"[1.0, 2.0]","[0.2, 1.0]",,"[1.0, 2.0]",[1.0],"[0.2, 1.0]",,[0.2],
IJN,IND,IND,INDIANA GRAND RACE COURSE,Indiana Grand,IND,IJN,IJN,0.0765,0.0765,0.0765,0.1115,0.0,0.1115,0.1115,0.1115,0.1115,0.1115,0.1115,0.0,0.1115,[2.0],[2.0],[2.0],"[1.0, 2.0]",,[0.5],[0.1],"[0.1, 1.0]","[1.0, 2.0]",[0.5],[0.5],,[1.0],
,KAM,KAM,KAMLOOPS,,KAM,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDM,KDX,KDX,KENTUCKY DOWNS,Kentucky Dwn,KD,KDM,No Code,0.0605,0.0605,0.0605,0.083,0.0,0.09050000000000001,0.09050000000000001,0.09050000000000001,0.09050000000000001,0.09050000000000001,0.09050000000000001,0.0405,0.0,[2.0],[2.0],[2.0],[1.0],,[0.5],"[0.1, 1.0]",[0.5],[1.0],[0.5],[0.5],[0.5],,
KED,KEE,KEE,KEENELAND,Keeneland,KEE,KED,KED,0.0255,0.0255,0.0255,0.0605,0.0,0.0855,0.0855,0.0855,0.0855,0.0855,0.0855,0.015500000000000002,0.0855,[1.0],[1.0],[1.0],[1.0],[2.0],[0.5],[0.1],[0.5],[1.0],[0.5],[0.5],[0.5],[1.0],
,KIN,KIN,KIN PARK,,KIN,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,LOUISIANA DOWNS QH,Louisiana Downs,,,,0.085,0.085,0.085,0.12,0.0,0.165,0.165,0.0,0.12,0.165,0.165,0.165,0.0,[1.0],[1.0],[1.0],[1.0],,[0.5],[0.1],[0.5],[1.0],[0.5],[0.5],[0.5],,
LDM,LAD,LAD,LOUISIANA DOWNS TB,LA Downs,LAD,LDM,LDM,0.08650000000000001,0.08650000000000001,0.08650000000000001,0.12150000000000001,0.0,0.16649999999999998,0.16649999999999998,0.16649999999999998,0.12150000000000001,0.16649999999999998,0.16649999999999998,0.0,0.0,[1.0],[1.0],[1.0],[1.0],,[0.5],[0.1],[0.5],[1.0],[0.5],[0.5],[0.5],,
LQD,LAX,LAX,LOS ALAMITOS,Los Alamitos TB,LA,LQD,LQD,0.0,0.0,0.0,0.027200000000000002,0.027999999999999997,0.031200000000000002,0.031200000000000002,0.031200000000000002,0.0165,0.031200000000000002,0.031200000000000002,0.0,0.031200000000000002,[2.0],[2.0],[2.0],[1.0],,[1.0],[0.1],[1.0],[2.0],[1.0],[0.5],[0.5],[2.0],
,LBG,LBG,LETHBRIDGE,,LBG,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LBT,LBT,LAUREL BROWN RACETRACK,,LBT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LNN,LIN,LINCOLN RACE COURSE,,LNN,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LRC,LRC,LOS ALAMITOS RACE COURSE,,LRC,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRM,LRL,LRL,LAUREL PARK,Laurel Park,LRL,,,0.0265,0.0265,0.0265,0.0415,,0.0653,0.0653,0.0115,0.0415,0.0653,0.0653,0.0,0.0365,,,,,,,,,,,,,,
LSE,LSX,LSX,LONE STAR PARK,Lone Star Park,LS,LSE,LSE,0.0465,0.0465,0.0465,0.0615,0.0,0.0815,0.0815,0.0815,0.0615,0.0815,0.0815,0.0,0.0165,,,,,,,,,,,,,,
,MAN,MAN,MANOR DOWNS,,MAN,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MCX,MCX,MILES CITY,,MC,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MDA,MDA,MELVILLE DISTRICT AGRIPAR,,MDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MDX,MDX,MARQUIS DOWNS,Marquis Downs,MD,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MED,MED,MEADOWLANDS,Meadowlands,MED,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MIL,MIL,MILLARVILLE,,MIL,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNE,MNR,MNR,MOUNTAINEER,Mountaineer,MNR,MNE,MNE,0.0635,0.0635,0.0635,0.081,0.0,0.141,0.141,0.141,0.081,0.141,0.141,0.141,0.0,[2.0],[2.0],[2.0],[2.0],,"[1.0, 2.0]","[0.5, 2.0]","[0.5, 2.0]",[2.0],"[1.0, 2.0]","[0.5, 2.0]","[0.5, 2.0]",,
,MPM,MPM,MT. PLEASANT MEADOWS,,MPM,,No Code,,,,,,,,,,,,,,,,,,,,,,,,,,,
