field_index,field_name,target_type,notes
421,pp_second_name_5,str,check if exists
422,pp_second_name_6,str,check if exists
423,pp_second_name_7,str,check if exists
424,pp_second_name_8,str,check if exists
425,pp_second_name_9,str,check if exists
426,pp_third_name_0,str,check if exists
427,pp_third_name_1,str,check if exists
428,pp_third_name_2,str,check if exists
429,pp_third_name_3,str,check if exists
430,pp_third_name_4,str,check if exists
431,pp_third_name_5,str,check if exists
432,pp_third_name_6,str,check if exists
433,pp_third_name_7,str,check if exists
434,pp_third_name_8,str,check if exists
435,pp_third_name_9,str,check if exists
436,pp_winner_weight_0,float,unit = pounds
437,pp_winner_weight_1,float,unit = pounds
438,pp_winner_weight_2,float,unit = pounds
439,pp_winner_weight_3,float,unit = pounds
440,pp_winner_weight_4,float,unit = pounds
441,pp_winner_weight_5,float,unit = pounds
442,pp_winner_weight_6,float,unit = pounds
443,pp_winner_weight_7,float,unit = pounds
444,pp_winner_weight_8,float,unit = pounds
445,pp_winner_weight_9,float,unit = pounds
446,pp_second_weight_0,float,unit = pounds
447,pp_second_weight_1,float,unit = pounds
448,pp_second_weight_2,float,unit = pounds
449,pp_second_weight_3,float,unit = pounds
450,pp_second_weight_4,float,unit = pounds
451,pp_second_weight_5,float,unit = pounds
452,pp_second_weight_6,float,unit = pounds
453,pp_second_weight_7,float,unit = pounds
454,pp_second_weight_8,float,unit = pounds
455,pp_second_weight_9,float,unit = pounds
456,pp_third_weight_0,float,unit = pounds
457,pp_third_weight_1,float,unit = pounds
458,pp_third_weight_2,float,unit = pounds
459,pp_third_weight_3,float,unit = pounds
460,pp_third_weight_4,float,unit = pounds
461,pp_third_weight_5,float,unit = pounds
462,pp_third_weight_6,float,unit = pounds
463,pp_third_weight_7,float,unit = pounds
464,pp_third_weight_8,float,unit = pounds
465,pp_third_weight_9,float,unit = pounds
466,pp_winner_margin_0,float,
467,pp_winner_margin_1,float,
468,pp_winner_margin_2,float,
469,pp_winner_margin_3,float,
470,pp_winner_margin_4,float,
471,pp_winner_margin_5,float,
472,pp_winner_margin_6,float,
473,pp_winner_margin_7,float,
474,pp_winner_margin_8,float,
475,pp_winner_margin_9,float,
476,pp_second_margin_0,float,
477,pp_second_margin_1,float,
478,pp_second_margin_2,float,
479,pp_second_margin_3,float,
480,pp_second_margin_4,float,
481,pp_second_margin_5,float,
482,pp_second_margin_6,float,
483,pp_second_margin_7,float,
484,pp_second_margin_8,float,
485,pp_second_margin_9,float,
486,pp_third_margin_0,float,
487,pp_third_margin_1,float,
488,pp_third_margin_2,float,
489,pp_third_margin_3,float,
490,pp_third_margin_4,float,
491,pp_third_margin_5,float,
492,pp_third_margin_6,float,
493,pp_third_margin_7,float,
494,pp_third_margin_8,float,
495,pp_third_margin_9,float,
496,pp_comment_extra_0,str,natural language
497,pp_comment_extra_1,str,natural language
498,pp_comment_extra_2,str,natural language
499,pp_comment_extra_3,str,natural language
500,pp_comment_extra_4,str,natural language
501,pp_comment_extra_5,str,natural language
502,pp_comment_extra_6,str,natural language
503,pp_comment_extra_7,str,natural language
504,pp_comment_extra_8,str,natural language
505,pp_comment_extra_9,str,natural language
506,pp_weight_0,float,unit = pounds
507,pp_weight_1,float,unit = pounds
508,pp_weight_2,float,unit = pounds
509,pp_weight_3,float,unit = pounds
510,pp_weight_4,float,unit = pounds
511,pp_weight_5,float,unit = pounds
512,pp_weight_6,float,unit = pounds
513,pp_weight_7,float,unit = pounds
514,pp_weight_8,float,unit = pounds
515,pp_weight_9,float,unit = pounds
516,pp_odds_0,float,
517,pp_odds_1,float,
518,pp_odds_2,float,
519,pp_odds_3,float,
520,pp_odds_4,float,
521,pp_odds_5,float,
522,pp_odds_6,float,
523,pp_odds_7,float,
524,pp_odds_8,float,
525,pp_odds_9,float,
526,pp_entry_0,type_pp_entry,check if exists
527,pp_entry_1,type_pp_entry,check if exists
528,pp_entry_2,type_pp_entry,check if exists
529,pp_entry_3,type_pp_entry,check if exists
530,pp_entry_4,type_pp_entry,check if exists
531,pp_entry_5,type_pp_entry,check if exists
532,pp_entry_6,type_pp_entry,check if exists
533,pp_entry_7,type_pp_entry,check if exists
534,pp_entry_8,type_pp_entry,check if exists
535,pp_entry_9,type_pp_entry,check if exists
536,pp_race_classification_0,str,check if exists
537,pp_race_classification_1,str,check if exists
538,pp_race_classification_2,str,check if exists
539,pp_race_classification_3,str,check if exists
540,pp_race_classification_4,str,check if exists
541,pp_race_classification_5,str,check if exists
542,pp_race_classification_6,str,check if exists
543,pp_race_classification_7,str,check if exists
544,pp_race_classification_8,str,check if exists
545,pp_race_classification_9,str,check if exists
546,pp_claiming_price_horse_0,float,unit = USD
547,pp_claiming_price_horse_1,float,unit = USD
548,pp_claiming_price_horse_2,float,unit = USD
549,pp_claiming_price_horse_3,float,unit = USD
550,pp_claiming_price_horse_4,float,unit = USD
551,pp_claiming_price_horse_5,float,unit = USD
552,pp_claiming_price_horse_6,float,unit = USD
553,pp_claiming_price_horse_7,float,unit = USD
554,pp_claiming_price_horse_8,float,unit = USD
555,pp_claiming_price_horse_9,float,unit = USD
556,pp_purse_0,float,unit = USD
557,pp_purse_1,float,unit = USD
558,pp_purse_2,float,unit = USD
559,pp_purse_3,float,unit = USD
560,pp_purse_4,float,unit = USD
561,pp_purse_5,float,unit = USD
562,pp_purse_6,float,unit = USD
563,pp_purse_7,float,unit = USD
564,pp_purse_8,float,unit = USD
565,pp_purse_9,float,unit = USD
566,pp_call_start_0,float,
567,pp_call_start_1,float,
568,pp_call_start_2,float,
569,pp_call_start_3,float,
570,pp_call_start_4,float,
571,pp_call_start_5,float,
572,pp_call_start_6,float,
573,pp_call_start_7,float,
574,pp_call_start_8,float,
575,pp_call_start_9,float,
576,pp_call_first_pos_0,float,
577,pp_call_first_pos_1,float,
578,pp_call_first_pos_2,float,
579,pp_call_first_pos_3,float,
580,pp_call_first_pos_4,float,
581,pp_call_first_pos_5,float,
582,pp_call_first_pos_6,float,
583,pp_call_first_pos_7,float,
584,pp_call_first_pos_8,float,
585,pp_call_first_pos_9,float,
586,pp_call_second_pos_0,float,
587,pp_call_second_pos_1,float,
588,pp_call_second_pos_2,float,
589,pp_call_second_pos_3,float,
590,pp_call_second_pos_4,float,
591,pp_call_second_pos_5,float,
592,pp_call_second_pos_6,float,
593,pp_call_second_pos_7,float,
594,pp_call_second_pos_8,float,
595,pp_call_second_pos_9,float,
596,pp_call_gate_pos_0,float,
597,pp_call_gate_pos_1,float,
598,pp_call_gate_pos_2,float,
599,pp_call_gate_pos_3,float,
600,pp_call_gate_pos_4,float,
601,pp_call_gate_pos_5,float,
602,pp_call_gate_pos_6,float,
603,pp_call_gate_pos_7,float,
604,pp_call_gate_pos_8,float,
605,pp_call_gate_pos_9,float,
606,pp_call_stretch_pos_0,float,
607,pp_call_stretch_pos_1,float,
608,pp_call_stretch_pos_2,float,
609,pp_call_stretch_pos_3,float,
610,pp_call_stretch_pos_4,float,
611,pp_call_stretch_pos_5,float,
612,pp_call_stretch_pos_6,float,
613,pp_call_stretch_pos_7,float,
614,pp_call_stretch_pos_8,float,
615,pp_call_stretch_pos_9,float,
616,pp_call_finish_pos_0,float,
617,pp_call_finish_pos_1,float,
618,pp_call_finish_pos_2,float,
619,pp_call_finish_pos_3,float,
620,pp_call_finish_pos_4,float,
621,pp_call_finish_pos_5,float,
622,pp_call_finish_pos_6,float,
623,pp_call_finish_pos_7,float,
624,pp_call_finish_pos_8,float,
625,pp_call_finish_pos_9,float,
626,pp_call_money_pos_0,float,
627,pp_call_money_pos_1,float,
628,pp_call_money_pos_2,float,
629,pp_call_money_pos_3,float,
630,pp_call_money_pos_4,float,
631,pp_call_money_pos_5,float,
632,pp_call_money_pos_6,float,
633,pp_call_money_pos_7,float,
634,pp_call_money_pos_8,float,
635,pp_call_money_pos_9,float,
636,pp_start_call_btnLengthsLdr_0,float,
637,pp_start_call_btnLengthsLdr_1,float,
638,pp_start_call_btnLengthsLdr_2,float,
639,pp_start_call_btnLengthsLdr_3,float,
640,pp_start_call_btnLengthsLdr_4,float,
641,pp_start_call_btnLengthsLdr_5,float,
642,pp_start_call_btnLengthsLdr_6,float,
643,pp_start_call_btnLengthsLdr_7,float,
644,pp_start_call_btnLengthsLdr_8,float,
645,pp_start_call_btnLengthsLdr_9,float,
646,pp_start_call_btnLengthsOnly_0,float,
647,pp_start_call_btnLengthsOnly_1,float,
648,pp_start_call_btnLengthsOnly_2,float,
649,pp_start_call_btnLengthsOnly_3,float,
650,pp_start_call_btnLengthsOnly_4,float,
651,pp_start_call_btnLengthsOnly_5,float,
652,pp_start_call_btnLengthsOnly_6,float,
653,pp_start_call_btnLengthsOnly_7,float,
654,pp_start_call_btnLengthsOnly_8,float,
655,pp_start_call_btnLengthsOnly_9,float,
656,pp_first_call_btnLengthsLdr_0,float,
657,pp_first_call_btnLengthsLdr_1,float,
658,pp_first_call_btnLengthsLdr_2,float,
659,pp_first_call_btnLengthsLdr_3,float,
660,pp_first_call_btnLengthsLdr_4,float,
661,pp_first_call_btnLengthsLdr_5,float,
662,pp_first_call_btnLengthsLdr_6,float,
663,pp_first_call_btnLengthsLdr_7,float,
664,pp_first_call_btnLengthsLdr_8,float,
665,pp_first_call_btnLengthsLdr_9,float,
666,pp_first_call_btnLengthsOnly_0,float,
667,pp_first_call_btnLengthsOnly_1,float,
668,pp_first_call_btnLengthsOnly_2,float,
669,pp_first_call_btnLengthsOnly_3,float,
670,pp_first_call_btnLengthsOnly_4,float,
671,pp_first_call_btnLengthsOnly_5,float,
672,pp_first_call_btnLengthsOnly_6,float,
673,pp_first_call_btnLengthsOnly_7,float,
674,pp_first_call_btnLengthsOnly_8,float,
675,pp_first_call_btnLengthsOnly_9,float,
676,pp_second_call_btnLengthsLdr_0,float,
677,pp_second_call_btnLengthsLdr_1,float,
678,pp_second_call_btnLengthsLdr_2,float,
679,pp_second_call_btnLengthsLdr_3,float,
680,pp_second_call_btnLengthsLdr_4,float,
681,pp_second_call_btnLengthsLdr_5,float,
682,pp_second_call_btnLengthsLdr_6,float,
683,pp_second_call_btnLengthsLdr_7,float,
684,pp_second_call_btnLengthsLdr_8,float,
685,pp_second_call_btnLengthsLdr_9,float,
686,pp_second_call_btnLengthsOnly_0,float,
687,pp_second_call_btnLengthsOnly_1,float,
688,pp_second_call_btnLengthsOnly_2,float,
689,pp_second_call_btnLengthsOnly_3,float,
690,pp_second_call_btnLengthsOnly_4,float,
691,pp_second_call_btnLengthsOnly_5,float,
692,pp_second_call_btnLengthsOnly_6,float,
693,pp_second_call_btnLengthsOnly_7,float,
694,pp_second_call_btnLengthsOnly_8,float,
695,pp_second_call_btnLengthsOnly_9,float,
696,pp_race_shape_first_0,float,flag
697,pp_race_shape_first_1,float,flag
698,pp_race_shape_first_2,float,flag
699,pp_race_shape_first_3,float,flag
700,pp_race_shape_first_4,float,flag
701,pp_race_shape_first_5,float,flag
702,pp_race_shape_first_6,float,flag
703,pp_race_shape_first_7,float,flag
704,pp_race_shape_first_8,float,flag
705,pp_race_shape_first_9,float,flag
706,pp_reserved_706_0,str,flag
707,pp_reserved_706_1,str,flag
708,pp_reserved_706_2,str,flag
709,pp_reserved_706_3,str,flag
710,pp_reserved_706_4,str,flag
711,pp_reserved_706_5,str,flag
712,pp_reserved_706_6,str,flag
713,pp_reserved_706_7,str,flag
714,pp_reserved_706_8,str,flag
715,pp_reserved_706_9,str,flag
716,pp_stretch_call_btnLengthsLdr_0,float,
717,pp_stretch_call_btnLengthsLdr_1,float,
718,pp_stretch_call_btnLengthsLdr_2,float,
719,pp_stretch_call_btnLengthsLdr_3,float,
720,pp_stretch_call_btnLengthsLdr_4,float,
721,pp_stretch_call_btnLengthsLdr_5,float,
722,pp_stretch_call_btnLengthsLdr_6,float,
723,pp_stretch_call_btnLengthsLdr_7,float,
724,pp_stretch_call_btnLengthsLdr_8,float,
725,pp_stretch_call_btnLengthsLdr_9,float,
726,pp_stretch_call_btnLengthsOnly_0,float,
727,pp_stretch_call_btnLengthsOnly_1,float,
728,pp_stretch_call_btnLengthsOnly_2,float,
729,pp_stretch_call_btnLengthsOnly_3,float,
730,pp_stretch_call_btnLengthsOnly_4,float,
731,pp_stretch_call_btnLengthsOnly_5,float,
732,pp_stretch_call_btnLengthsOnly_6,float,
733,pp_stretch_call_btnLengthsOnly_7,float,
734,pp_stretch_call_btnLengthsOnly_8,float,
735,pp_stretch_call_btnLengthsOnly_9,float,
736,pp_finish_call_btnLengthsLdr_0,float,
737,pp_finish_call_btnLengthsLdr_1,float,
738,pp_finish_call_btnLengthsLdr_2,float,
739,pp_finish_call_btnLengthsLdr_3,float,
740,pp_finish_call_btnLengthsLdr_4,float,
741,pp_finish_call_btnLengthsLdr_5,float,
742,pp_finish_call_btnLengthsLdr_6,float,
